filename,title,artist,year,genre,source_url,image_url,downloaded,error
,Khafre Enthroned,Ancient Egypt,2570 BC,portrait,,https://uploads2.wikiart.org/00305/images/ancient-egyptian-painting/330px-khafre-statue.jpg,False,"Image too small: (330, 440)"
wikiart_Ancient_Egypt_Stela_of_Intef_and_H_1981-1802_BC.jpg,"Stela of Intef and His Wife, Dedetamun",Ancient Egypt,1981-1802 BC,portrait,,https://uploads5.wikiart.org/00244/images/ancient-egyptian-painting/stela-of-intef-and-his-wife-dedetamun-ca-1981-1802-b-c.jpg,True,
wikiart_Ancient_Egypt_Girl_with_Flowers_1422-1411_BC.jpg,Girl with Flowers,Ancient Egypt,1422-1411 BC,portrait,,https://uploads6.wikiart.org/00244/images/ancient-egyptian-painting/girl-with-flowers-3.jpg,True,
wikiart_Ancient_Egypt_Hunting_and_Fishing__1422-1411_BC.jpg,"Hunting and Fishing, Detail. The Hunter&#39;s Daughter",Ancient Egypt,1422-1411 BC,portrait,,https://uploads2.wikiart.org/00244/images/ancient-egyptian-painting/hunting-and-fishing-detail-the-hunter-s-daughter-1422-1411-3.jpg,True,
wikiart_Ancient_Egypt_Taui_Als_Beobachteri_1390_BC.jpg,Taui Als Beobachterin Des Opfers,Ancient Egypt,1390 BC,portrait,,https://uploads4.wikiart.org/00244/images/ancient-egyptian-painting/tomb-of-nakht-3-1.jpg,True,
wikiart_Ancient_Egypt_Artist39s_Sketches_o_1479-1458_BC.jpg,Artist&#39;s Sketches of Senenmut,Ancient Egypt,1479-1458 BC,portrait,,https://uploads8.wikiart.org/00244/images/ancient-egyptian-painting/main-image-1.jpg,True,
wikiart_Ancient_Egypt_Portrait_of_a_Lady_1422-1411_BC.jpg,Portrait of a Lady,Ancient Egypt,1422-1411 BC,portrait,,https://uploads5.wikiart.org/00244/images/ancient-egyptian-painting/portrait-of-a-lady.jpg,True,
wikiart_Ancient_Egypt_Bearer_with_Antelope_1422-1411_BC.jpg,Bearer with Antelope,Ancient Egypt,1422-1411 BC,portrait,,https://uploads0.wikiart.org/00244/images/ancient-egyptian-painting/bearer-with-antelope-4.jpg,True,
wikiart_Ancient_Egypt_Stela_of_Ameny_and_H_1504-1400_BC.jpg,Stela of Ameny and His Wife Inet Hapy,Ancient Egypt,1504-1400 BC,portrait,,https://uploads5.wikiart.org/00244/images/ancient-egyptian-painting/stela-of-ameny-and-his-wife-inet-hapy-ca-1504-1400-b-c.jpg,True,
wikiart_Ancient_Egypt_Two_Daughters_of_Ame_1375-1358_BC.jpg,Two Daughters of Amenhotep IV; Nofernoferuaton and Nofernoferure.,Ancient Egypt,1375-1358 BC,portrait,,https://uploads6.wikiart.org/00244/images/ancient-egyptian-painting/two-daughters-of-amenhotep-iv-nofernoferuaton-and-nofernoferure-1375-1358.jpg,True,
wikiart_Ancient_Egypt_Smenhkara_and_Merita_1351-1334_BC.jpg,Smenhkara and Meritaton,Ancient Egypt,1351-1334 BC,portrait,,https://uploads2.wikiart.org/00244/images/ancient-egyptian-painting/smenhkara-and-meritaton-1351-1334.jpg,True,
,Plaque from the Lid of a Coffer Showing Tutankhamun and His Wife Ankhesenamun in a Garden,Ancient Egypt,1351-1334 BC,portrait,,https://uploads4.wikiart.org/00244/images/ancient-egyptian-painting/plaque-from-the-lid-of-a-coffer-showing-tutankhamun-and-his-wife-ankhesenamun-in-a-garden.jpg,False,"Image too small: (366, 488)"
wikiart_Ancient_Egypt_Der_Priesterbeamte_N_1390_BC.jpg,Der Priesterbeamte Nacht,Ancient Egypt,1390 BC,portrait,,https://uploads5.wikiart.org/00244/images/ancient-egyptian-painting/tomb-of-nakht-20-2.jpg,True,
